,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
57456,2022,ESPORTSTMNT01_2911663,Blue,1,0,1,1,0.5101614087172787,0.6515151515151515,0,3482.0,4762.0,80.0,3171.0,4743.0,75.0,311.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1
57457,2022,ESPORTSTMNT01_2911663,Red,0,0,0,0,0.4974530658229396,0.4590163934426229,1,3171.0,4743.0,75.0,3482.0,4762.0,80.0,-311.0,-19.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,-1
57458,2022,ESPORTSTMNT01_2911672,Blue,1,0,1,1,0.4964833666908285,0.4941860465116279,0,3102.0,4545.0,82.0,3137.0,4395.0,81.0,-35.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57459,2022,ESPORTSTMNT01_2911672,Red,0,0,0,0,0.5139178998162812,0.4383561643835616,1,3137.0,4395.0,81.0,3102.0,4545.0,82.0,35.0,-150.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57460,2022,ESPORTSTMNT01_2911679,Blue,2,0,2,1,0.5022381355713668,0.325,0,3132.0,4817.0,80.0,3111.0,4545.0,79.0,21.0,272.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57461,2022,ESPORTSTMNT01_2911679,Red,1,0,1,0,0.4859531634156823,0.4360902255639097,1,3111.0,4545.0,79.0,3132.0,4817.0,80.0,-21.0,-272.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57462,2022,ESPORTSTMNT01_2912059,Blue,1,1,2,1,0.4966299875009986,0.4590163934426229,1,3148.0,4573.0,69.0,3174.0,4557.0,79.0,-26.0,16.0,-10.0,1.0,2.0,0.0,0.0,1.0,1.0,1
57463,2022,ESPORTSTMNT01_2912059,Red,0,1,1,0,0.4952834923129797,0.325,0,3174.0,4557.0,79.0,3148.0,4573.0,69.0,26.0,-16.0,10.0,0.0,1.0,1.0,1.0,2.0,0.0,-1
57464,2022,ESPORTSTMNT01_2912077,Blue,1,1,2,1,0.4935975516691924,0.4941860465116279,1,2920.0,4346.0,68.0,3025.0,4587.0,76.0,-105.0,-241.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57465,2022,ESPORTSTMNT01_2912077,Red,0,1,1,0,0.4772958646028352,0.6515151515151515,0,3025.0,4587.0,76.0,2920.0,4346.0,68.0,105.0,241.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57466,2022,ESPORTSTMNT01_2913773,Blue,0,1,1,0,0.5003768017528738,0.3653846153846153,0,3140.0,4499.0,73.0,2939.0,4373.0,72.0,201.0,126.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1
57467,2022,ESPORTSTMNT01_2913773,Red,2,0,2,1,0.5124033290641987,0.6637931034482759,1,2939.0,4373.0,72.0,3140.0,4499.0,73.0,-201.0,-126.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
57468,2022,ESPORTSTMNT01_2913804,Blue,0,2,2,1,0.4985855910821792,0.4797297297297297,0,3089.0,4423.0,79.0,3443.0,4795.0,95.0,-354.0,-372.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57469,2022,ESPORTSTMNT01_2913804,Red,1,0,1,0,0.4919128669187721,0.5725190839694656,1,3443.0,4795.0,95.0,3089.0,4423.0,79.0,354.0,372.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57470,2022,ESPORTSTMNT01_2913806,Blue,1,0,1,1,0.50563143368586,0.0833333333333333,0,2746.0,4537.0,60.0,3504.0,4741.0,84.0,-758.0,-204.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57471,2022,ESPORTSTMNT01_2913806,Red,0,0,0,0,0.4964757900409779,0.5,1,3504.0,4741.0,84.0,2746.0,4537.0,60.0,758.0,204.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
