,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
0,Weibo Gaming,LPL,2025,11715-11715_game_1,Blue,K'Sante,Jayce,Poppy,Rumble,Rakan,Rell,K'Sante,Viego,Aurora,Ashe,Braum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oh My God,LPL,2025,11715-11715_game_1,Red,Gnar,Skarner,Vi,Kalista,Xin Zhao,Wukong,Gnar,Nocturne,Orianna,Varus,Neeko,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oh My God,LPL,2025,11715-11715_game_2,Blue,Rumble,Caitlyn,Vi,Xin Zhao,Poppy,Alistar,Rumble,Maokai,Ambessa,Jhin,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Weibo Gaming,LPL,2025,11715-11715_game_2,Red,Jayce,Kalista,Skarner,Corki,Sejuani,Yone,Jayce,Wukong,Viktor,Miss Fortune,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oh My God,LPL,2025,11715-11715_game_3,Blue,Aatrox,Vi,Caitlyn,Xin Zhao,Akali,Alistar,Aatrox,Zyra,Yone,Ziggs,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Weibo Gaming,LPL,2025,11715-11715_game_3,Red,Jax,Skarner,Kalista,Corki,Kai'Sa,Renekton,Jax,Sejuani,Sylas,Jinx,Poppy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LNG Esports,LPL,2025,11716-11716_game_1,Blue,K'Sante,Galio,Nocturne,Varus,Corki,Miss Fortune,K'Sante,Pantheon,Vladimir,Kalista,Neeko,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ThunderTalk Gaming,LPL,2025,11716-11716_game_1,Red,Rumble,Skarner,Ashe,Renata Glasc,Akali,Viktor,Rumble,Vi,Aurora,Ezreal,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ThunderTalk Gaming,LPL,2025,11716-11716_game_2,Blue,Gnar,Jayce,Renata Glasc,Poppy,Xin Zhao,Jax,Gnar,Wukong,Akali,Kai'Sa,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LNG Esports,LPL,2025,11716-11716_game_2,Red,Renekton,Skarner,Ashe,Varus,Miss Fortune,Gragas,Renekton,Lee Sin,Taliyah,Corki,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LNG Esports,LPL,2025,11716-11716_game_3,Blue,Jax,Sejuani,Nocturne,Poppy,Udyr,Lulu,Jax,Volibear,Yone,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ThunderTalk Gaming,LPL,2025,11716-11716_game_3,Red,Gragas,Skarner,Renata Glasc,Ambessa,Zac,Zyra,Gragas,Xin Zhao,Viktor,Varus,Karma,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LNG Esports,LPL,2025,11716-11716_game_4,Blue,Ambessa,Udyr,Maokai,Caitlyn,Renata Glasc,Pyke,Ambessa,Sejuani,Sylas,Twitch,Lulu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ThunderTalk Gaming,LPL,2025,11716-11716_game_4,Red,Poppy,Skarner,Miss Fortune,Nocturne,Draven,Nautilus,Poppy,Viego,Azir,Jinx,Blitzcrank,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Royal Never Give Up,LPL,2025,11717-11717_game_1,Blue,Jax,Skarner,Nocturne,Varus,Wukong,Xin Zhao,Jax,Viego,Orianna,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FunPlus Phoenix,LPL,2025,11717-11717_game_1,Red,K'Sante,Viktor,Corki,Rumble,Galio,Jayce,K'Sante,Vi,Aurora,Kalista,Neeko,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Royal Never Give Up,LPL,2025,11717-11717_game_2,Blue,Ambessa,Nocturne,Skarner,Galio,Leona,Rell,Ambessa,Lee Sin,Akali,Varus,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FunPlus Phoenix,LPL,2025,11717-11717_game_2,Red,Jayce,Viktor,Corki,Rumble,LeBlanc,Kindred,Jayce,Wukong,Sylas,Miss Fortune,Rakan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FunPlus Phoenix,LPL,2025,11717-11717_game_3,Blue,Gnar,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Gnar,Sejuani,Taliyah,Jinx,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Royal Never Give Up,LPL,2025,11717-11717_game_3,Red,Renekton,Skarner,Corki,Rumble,Yone,Tristana,Renekton,Xin Zhao,Ahri,Aphelios,Thresh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FunPlus Phoenix,LPL,2025,11717-11717_game_4,Blue,Udyr,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Udyr,Nidalee,Corki,Sivir,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Royal Never Give Up,LPL,2025,11717-11717_game_4,Red,Aatrox,Skarner,Ezreal,Rumble,Xayah,Ziggs,Aatrox,Karthus,Yone,Tristana,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ultra Prime,LPL,2025,11718-11718_game_1,Blue,K'Sante,Orianna,Poppy,Kalista,Rakan,Jayce,K'Sante,Wukong,Akali,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Weibo Gaming,LPL,2025,11718-11718_game_1,Red,Ambessa,Skarner,Rumble,Nocturne,Zyra,Viktor,Ambessa,Vi,Aurora,Varus,Rell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ultra Prime,LPL,2025,11718-11718_game_2,Blue,Galio,Orianna,LeBlanc,Xin Zhao,Leona,Poppy,Galio,Viego,Sylas,Kalista,Neeko,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Weibo Gaming,LPL,2025,11718-11718_game_2,Red,Rumble,Skarner,Zyra,Yone,Nocturne,Renata Glasc,Rumble,Lee Sin,Viktor,Miss Fortune,Nautilus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Weibo Gaming,LPL,2025,11718-11718_game_3,Blue,Jax,Yone,Jayce,Nocturne,Jinx,Jhin,Jax,Pantheon,Ahri,Corki,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ultra Prime,LPL,2025,11718-11718_game_3,Red,Gragas,Skarner,Orianna,Caitlyn,Sejuani,Zyra,Gragas,Xin Zhao,Taliyah,Ezreal,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ultra Prime,LPL,2025,11718-11718_game_4,Blue,Udyr,Caitlyn,Draven,Jayce,Thresh,Renekton,Udyr,Kindred,Orianna,Xayah,Bard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Weibo Gaming,LPL,2025,11718-11718_game_4,Red,Gnar,Yone,Skarner,Maokai,Alistar,Ornn,Gnar,Nocturne,Syndra,Jinx,Blitzcrank,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,LGD Gaming,LPL,2025,11719-11719_game_1,Blue,K'Sante,Ashe,Kalista,Viktor,Leona,Nocturne,K'Sante,Lee Sin,Aurora,Varus,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Anyone's Legend,LPL,2025,11719-11719_game_1,Red,Jayce,Skarner,Rumble,Vi,Renata Glasc,Poppy,Jayce,Wukong,Akali,Corki,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LGD Gaming,LPL,2025,11719-11719_game_2,Blue,Udyr,Ashe,Viktor,Kalista,Renekton,Leona,Udyr,Sejuani,Yone,Jinx,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Anyone's Legend,LPL,2025,11719-11719_game_2,Red,Ambessa,Skarner,Vi,Rumble,Kai'Sa,Draven,Ambessa,Xin Zhao,Sylas,Miss Fortune,Bard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LGD Gaming,LPL,2025,11719-11719_game_3,Blue,Rumble,Ashe,Viktor,Kalista,Poppy,Caitlyn,Rumble,Viego,Ahri,Xayah,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Anyone's Legend,LPL,2025,11719-11719_game_3,Red,Galio,Skarner,Vi,Draven,Jhin,Renata Glasc,Galio,Nocturne,LeBlanc,Kai'Sa,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,EDward Gaming,LPL,2025,11720-11720_game_1,Blue,Rumble,Kalista,Vi,Galio,Leona,Yone,Rumble,Viego,Viktor,Varus,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bilibili Gaming,LPL,2025,11720-11720_game_1,Red,K'Sante,Ashe,Skarner,Nocturne,Xin Zhao,Wukong,K'Sante,Zyra,Corki,Miss Fortune,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,EDward Gaming,LPL,2025,11720-11720_game_2,Blue,Ambessa,Kalista,Caitlyn,Ashe,Braum,Taliyah,Ambessa,Xin Zhao,Aurora,Xayah,Poppy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bilibili Gaming,LPL,2025,11720-11720_game_2,Red,Jayce,Skarner,Nocturne,Wukong,Rakan,Kai'Sa,Jayce,Vi,Vladimir,Ezreal,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EDward Gaming,LPL,2025,11720-11720_game_3,Blue,Gangplank,Caitlyn,Kalista,Sejuani,Sylas,Jax,Gangplank,Lee Sin,Taliyah,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bilibili Gaming,LPL,2025,11720-11720_game_3,Red,Gnar,Ambessa,Skarner,Nocturne,LeBlanc,Renekton,Gnar,Wukong,Swain,Jhin,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Top Esports,LPL,2025,11721-11721_game_1,Blue,K'Sante,Rumble,Akali,Udyr,Sejuani,Wukong,K'Sante,Nocturne,Orianna,Corki,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Team WE,LPL,2025,11721-11721_game_1,Red,Jayce,Skarner,Kalista,Vi,Ashe,Miss Fortune,Jayce,Rengar,Viktor,Varus,Rakan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Team WE,LPL,2025,11721-11721_game_2,Blue,Renekton,Kalista,Akali,Yone,Taliyah,Sylas,Renekton,Wukong,Aurora,Ezreal,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Top Esports,LPL,2025,11721-11721_game_2,Red,Gnar,Skarner,Rumble,Ashe,Kai'Sa,Poppy,Gnar,Vi,Vladimir,Miss Fortune,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Team WE,LPL,2025,11721-11721_game_3,Blue,Aatrox,Kalista,Akali,LeBlanc,Ambessa,Tristana,Aatrox,Sejuani,Yone,Ziggs,Pyke,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Top Esports,LPL,2025,11721-11721_game_3,Red,Camille,Rumble,Skarner,Udyr,Jax,Nautilus,Camille,Zyra,Smolder,Ashe,Rell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Invictus Gaming,LPL,2025,11722-11722_game_1,Blue,K'Sante,Nocturne,Vi,Corki,Rakan,Rell,K'Sante,Xin Zhao,Viktor,Miss Fortune,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ninjas in Pyjamas,LPL,2025,11722-11722_game_1,Red,Maokai,Skarner,Rumble,Kalista,Ashe,Poppy,Maokai,Wukong,Akali,Varus,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ninjas in Pyjamas,LPL,2025,11722-11722_game_2,Blue,Ambessa,Kalista,Nocturne,Aurora,Gnar,Orianna,Ambessa,Zyra,Jayce,Jhin,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Invictus Gaming,LPL,2025,11722-11722_game_2,Red,Karma,Rumble,Skarner,Corki,Poppy,Renekton,Karma,Vi,Taliyah,Ashe,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Invictus Gaming,LPL,2025,11722-11722_game_3,Blue,Jax,Galio,Udyr,Corki,Nilah,Blitzcrank,Jax,Nocturne,Aurora,Jinx,Lulu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ninjas in Pyjamas,LPL,2025,11722-11722_game_3,Red,Renekton,Kalista,Skarner,Rumble,Thresh,Ornn,Renekton,Viego,Ryze,Kai'Sa,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Invictus Gaming,LPL,2025,11722-11722_game_4,Blue,Gragas,Galio,Karthus,Sylas,Lillia,Blitzcrank,Gragas,Pantheon,Azir,Corki,Poppy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ninjas in Pyjamas,LPL,2025,11722-11722_game_4,Red,Udyr,Kalista,Skarner,Rumble,Gnar,Neeko,Udyr,Brand,Lee Sin,Ezreal,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,JD Gaming,LPL,2025,11723-11723_game_1,Blue,K'Sante,Corki,Ashe,Vi,Nocturne,Wukong,K'Sante,Nidalee,Jayce,Ziggs,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ultra Prime,LPL,2025,11723-11723_game_1,Red,Rumble,Skarner,Kalista,Viktor,Ezreal,Miss Fortune,Rumble,Xin Zhao,Aurora,Varus,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ultra Prime,LPL,2025,11723-11723_game_2,Blue,Renekton,Corki,Ashe,Akali,Caitlyn,Ezreal,Renekton,Lillia,Yone,Xayah,Rakan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,JD Gaming,LPL,2025,11723-11723_game_2,Red,Maokai,Skarner,Kalista,Viktor,Miss Fortune,Jhin,Maokai,Zyra,Ambessa,Jinx,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ultra Prime,LPL,2025,11723-11723_game_3,Blue,Jax,Poppy,Corki,Orianna,Udyr,Malphite,Jax,Vi,Tryndamere,Kai'Sa,Elise,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,JD Gaming,LPL,2025,11723-11723_game_3,Red,Ornn,Skarner,Kalista,Ashe,Akali,Sylas,Ornn,Wukong,Viktor,Ezreal,Galio,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,EDward Gaming,LPL,2025,11724-11724_game_1,Blue,K'Sante,Rumble,Aurora,Kalista,Zyra,Jayce,K'Sante,Wukong,Taliyah,Varus,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ThunderTalk Gaming,LPL,2025,11724-11724_game_1,Red,Poppy,Skarner,Viktor,Corki,Neeko,Renata Glasc,Poppy,Vi,Ahri,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ThunderTalk Gaming,LPL,2025,11724-11724_game_2,Blue,Ornn,Viktor,Corki,Nocturne,Rell,Alistar,Ornn,Xin Zhao,Aurora,Ezreal,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EDward Gaming,LPL,2025,11724-11724_game_2,Red,Jayce,Kalista,Rumble,Skarner,Ambessa,Gragas,Jayce,Lee Sin,Vladimir,Miss Fortune,Elise,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,EDward Gaming,LPL,2025,11724-11724_game_3,Blue,Rumble,Nocturne,Kalista,Galio,Alistar,Nautilus,Rumble,Viego,Ryze,Xayah,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ThunderTalk Gaming,LPL,2025,11724-11724_game_3,Red,Ambessa,Skarner,Viktor,Corki,LeBlanc,Jhin,Ambessa,Sejuani,Akali,Jinx,Lulu,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,EDward Gaming,LPL,2025,11724-11724_game_4,Blue,Renekton,Caitlyn,Nocturne,Yone,Gnar,Jax,Renekton,Kha'Zix,LeBlanc,Kalista,Neeko,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ThunderTalk Gaming,LPL,2025,11724-11724_game_4,Red,Sion,Skarner,Viktor,Corki,Pantheon,Maokai,Sion,Zyra,Yasuo,Ziggs,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,LGD Gaming,LPL,2025,11725-11725_game_1,Blue,Rumble,Ashe,Zyra,Varus,Braum,Akali,Rumble,Sejuani,Yone,Ezreal,Rell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Team WE,LPL,2025,11725-11725_game_1,Red,Galio,Skarner,Kalista,Vi,Draven,Alistar,Galio,Xin Zhao,Aurora,Corki,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Team WE,LPL,2025,11725-11725_game_2,Blue,K'Sante,Vi,Kalista,Udyr,Renata Glasc,Poppy,K'Sante,Wukong,Akali,Kai'Sa,Rakan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,LGD Gaming,LPL,2025,11725-11725_game_2,Red,Ambessa,Skarner,Zyra,Nocturne,Ashe,Miss Fortune,Ambessa,Lee Sin,Taliyah,Varus,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Team WE,LPL,2025,11725-11725_game_3,Blue,Ornn,Kalista,Vi,Udyr,Viego,Braum,Ornn,Nocturne,Viktor,Caitlyn,Bard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,LGD Gaming,LPL,2025,11725-11725_game_3,Red,Jax,Skarner,Jayce,Zyra,Jhin,Jinx,Jax,Pantheon,Orianna,Ashe,Seraphine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Top Esports,LPL,2025,11726-11726_game_1,Blue,Ornn,Jayce,Zyra,Ambessa,Sejuani,Yone,Ornn,Vi,Aurora,Ezreal,Alistar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Anyone's Legend,LPL,2025,11726-11726_game_1,Red,Rumble,Skarner,Kalista,K'Sante,Rakan,Renata Glasc,Rumble,Xin Zhao,Galio,Corki,Rell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Top Esports,LPL,2025,11726-11726_game_2,Blue,K'Sante,Jayce,Zyra,Varus,Rakan,Ziggs,K'Sante,Viego,Hwei,Ashe,Renata Glasc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Anyone's Legend,LPL,2025,11726-11726_game_2,Red,Ambessa,Skarner,Draven,Kalista,Nocturne,Lee Sin,Ambessa,Wukong,Akali,Jhin,Neeko,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Anyone's Legend,LPL,2025,11726-11726_game_3,Blue,Gnar,Nocturne,Nautilus,Varus,Lee Sin,Poppy,Gnar,Pantheon,Orianna,Ziggs,Leona,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Top Esports,LPL,2025,11726-11726_game_3,Red,Renekton,Skarner,Jayce,Yone,Sylas,Taliyah,Renekton,Sejuani,Viktor,Miss Fortune,Maokai,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Top Esports,LPL,2025,11726-11726_game_4,Blue,Urgot,Yone,Nocturne,Karma,Rakan,Nautilus,Urgot,Lee Sin,Azir,Tristana,Lulu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Anyone's Legend,LPL,2025,11726-11726_game_4,Red,Jax,Skarner,Varus,Jayce,Draven,Caitlyn,Jax,Volibear,Sylas,Jinx,Seraphine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bilibili Gaming,LPL,2025,11727-11727_game_1,Blue,K'Sante,Ashe,Varus,Rumble,Leona,Alistar,K'Sante,Viego,Aurora,Miss Fortune,Rell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,LNG Esports,LPL,2025,11727-11727_game_1,Red,Ambessa,Skarner,Kalista,Corki,Nocturne,Vi,Ambessa,Zyra,Jayce,Ziggs,Nautilus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,LNG Esports,LPL,2025,11727-11727_game_2,Blue,Rumble,Caitlyn,Kalista,Gnar,Rakan,Renata Glasc,Rumble,Vi,Yone,Ezreal,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Bilibili Gaming,LPL,2025,11727-11727_game_2,Red,Galio,Skarner,Leona,Nocturne,Ashe,Kai'Sa,Galio,Xin Zhao,Corki,Varus,Elise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,LNG Esports,LPL,2025,11727-11727_game_3,Blue,Poppy,Caitlyn,Rakan,Neeko,Sylas,Renata Glasc,Poppy,Nocturne,Akali,Jinx,Alistar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bilibili Gaming,LPL,2025,11727-11727_game_3,Red,Jax,Skarner,Kalista,Ashe,Renekton,Gnar,Jax,Pantheon,Azir,Xayah,Bard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
