,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1415,100 Thieves,LTA,2025,LOLTMNT02_221986,Red,Gnar,Ivern,Skarner,Kalista,Elise,Xayah,Gnar,Xin Zhao,Akali,Kai'Sa,Poppy,1,3694.0,4561.0,77.0,3753.0,5051.0,96.0,-59.0,-490.0,-19.0,1.0,0.0,0.0,0.0,0.0,1.0,5888.0,7087.0,113.0,5473.0,7689.0,139.0,415.0,-602.0,-26.0,1.0,0.0,0.0,0.0,1.0,1.0,8420.0,10283.0,170.0,7860.0,11169.0,195.0,560.0,-886.0,-25.0,2.0,0.0,0.0,0.0,1.0,2.0,10088.0,12950.0,211.0,9550.0,13500.0,233.0,538.0,-550.0,-22.0,2.0,0.0,0.0,0.0,1.0,2.0
1416,100 Thieves,LTA,2025,LOLTMNT02_221993,Blue,Jax,Ivern,Lillia,Cassiopeia,Nocturne,Urgot,Jax,Maokai,Viktor,Miss Fortune,Alistar,1,3384.0,4749.0,78.0,2921.0,4669.0,65.0,463.0,80.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4774.0,6619.0,107.0,4643.0,7207.0,115.0,131.0,-588.0,-8.0,0.0,2.0,0.0,0.0,0.0,1.0,6727.0,8960.0,149.0,7138.0,10240.0,154.0,-411.0,-1280.0,-5.0,0.0,2.0,1.0,1.0,2.0,1.0,8758.0,12190.0,210.0,9326.0,13208.0,206.0,-568.0,-1018.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0
1417,FlyQuest,LTA,2025,LOLTMNT02_221993,Red,Garen,Skarner,Kalista,Ambessa,Jarvan IV,Wukong,Garen,Pantheon,Orianna,Jhin,Bard,0,2921.0,4669.0,65.0,3384.0,4749.0,78.0,-463.0,-80.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4643.0,7207.0,115.0,4774.0,6619.0,107.0,-131.0,588.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,7138.0,10240.0,154.0,6727.0,8960.0,149.0,411.0,1280.0,5.0,1.0,2.0,1.0,0.0,2.0,1.0,9326.0,13208.0,206.0,8758.0,12190.0,210.0,568.0,1018.0,-4.0,1.0,2.0,1.0,0.0,2.0,1.0
1418,Cloud9,LTA,2025,LOLTMNT02_222000,Blue,Ambessa,Draven,K'Sante,Varus,Poppy,Rumble,Ambessa,Sejuani,Azir,Kalista,Pantheon,0,3365.0,4717.0,86.0,3128.0,4902.0,64.0,237.0,-185.0,22.0,0.0,1.0,0.0,0.0,2.0,0.0,4828.0,7262.0,127.0,5255.0,7384.0,107.0,-427.0,-122.0,20.0,0.0,2.0,0.0,1.0,2.0,1.0,6827.0,9811.0,169.0,8120.0,10814.0,166.0,-1293.0,-1003.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,8510.0,12174.0,211.0,10040.0,13732.0,213.0,-1530.0,-1558.0,-2.0,0.0,4.0,1.0,1.0,3.0,1.0
1419,Team Liquid,LTA,2025,LOLTMNT02_222000,Red,Gangplank,Zyra,Yone,Renata Glasc,Aurora,Alistar,Gangplank,Skarner,Taliyah,Corki,Nautilus,1,3128.0,4902.0,64.0,3365.0,4717.0,86.0,-237.0,185.0,-22.0,0.0,2.0,0.0,0.0,1.0,0.0,5255.0,7384.0,107.0,4828.0,7262.0,127.0,427.0,122.0,-20.0,1.0,2.0,1.0,0.0,2.0,0.0,8120.0,10814.0,166.0,6827.0,9811.0,169.0,1293.0,1003.0,-3.0,1.0,2.0,1.0,0.0,3.0,1.0,10040.0,13732.0,213.0,8510.0,12174.0,211.0,1530.0,1558.0,2.0,1.0,3.0,1.0,0.0,4.0,1.0
1420,Hanwha Life Esports,LCK,2025,LOLTMNT02_222055,Blue,K'Sante,Rumble,Poppy,Ambessa,Ahri,Jax,K'Sante,Maokai,Yone,Xayah,Nautilus,1,3450.0,4927.0,94.0,3248.0,4360.0,84.0,202.0,567.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5706.0,7822.0,146.0,4919.0,6925.0,126.0,787.0,897.0,20.0,0.0,1.0,1.0,0.0,2.0,1.0,8063.0,11118.0,202.0,6766.0,9888.0,176.0,1297.0,1230.0,26.0,1.0,1.0,1.0,0.0,2.0,2.0,10834.0,14199.0,240.0,8350.0,12339.0,214.0,2484.0,1860.0,26.0,2.0,6.0,1.0,0.0,3.0,3.0
1421,Dplus KIA,LCK,2025,LOLTMNT02_222055,Red,Gnar,Skarner,Jayce,Kalista,Alistar,Elise,Gnar,Vi,Twisted Fate,Kai'Sa,Rakan,0,3248.0,4360.0,84.0,3450.0,4927.0,94.0,-202.0,-567.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.0,6925.0,126.0,5706.0,7822.0,146.0,-787.0,-897.0,-20.0,0.0,2.0,1.0,0.0,1.0,1.0,6766.0,9888.0,176.0,8063.0,11118.0,202.0,-1297.0,-1230.0,-26.0,0.0,2.0,2.0,1.0,1.0,1.0,8350.0,12339.0,214.0,10834.0,14199.0,240.0,-2484.0,-1860.0,-26.0,0.0,3.0,3.0,2.0,6.0,1.0
1422,Dplus KIA,LCK,2025,LOLTMNT02_222064,Blue,Ambessa,Rumble,Poppy,Azir,Shen,Lulu,Ambessa,Lillia,Pantheon,Varus,Braum,1,3339.0,4177.0,54.0,2676.0,3789.0,49.0,663.0,388.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,5031.0,6502.0,101.0,4686.0,6584.0,94.0,345.0,-82.0,7.0,1.0,2.0,0.0,1.0,2.0,2.0,7181.0,9367.0,148.0,6767.0,9505.0,148.0,414.0,-138.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,9374.0,12959.0,208.0,9013.0,12135.0,197.0,361.0,824.0,11.0,1.0,6.0,0.0,1.0,2.0,2.0
1423,Hanwha Life Esports,LCK,2025,LOLTMNT02_222064,Red,Camille,Skarner,Kalista,Jayce,Jax,Leona,Camille,Xin Zhao,Galio,Ezreal,Karma,0,2676.0,3789.0,49.0,3339.0,4177.0,54.0,-663.0,-388.0,-5.0,0.0,2.0,1.0,1.0,1.0,0.0,4686.0,6584.0,94.0,5031.0,6502.0,101.0,-345.0,82.0,-7.0,1.0,2.0,2.0,1.0,2.0,0.0,6767.0,9505.0,148.0,7181.0,9367.0,148.0,-414.0,138.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,9013.0,12135.0,197.0,9374.0,12959.0,208.0,-361.0,-824.0,-11.0,1.0,2.0,2.0,1.0,6.0,0.0
1424,Hanwha Life Esports,LCK,2025,LOLTMNT02_222074,Blue,Jayce,LeBlanc,Nidalee,Ahri,Wukong,Lee Sin,Jayce,Sejuani,Aurora,Jhin,Leona,0,3107.0,4716.0,81.0,3076.0,4100.0,77.0,31.0,616.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5292.0,7615.0,136.0,4559.0,6150.0,117.0,733.0,1465.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,7130.0,10494.0,180.0,6927.0,9033.0,163.0,203.0,1461.0,17.0,0.0,1.0,1.0,1.0,3.0,0.0,8851.0,12960.0,221.0,8520.0,11427.0,197.0,331.0,1533.0,24.0,0.0,3.0,1.0,1.0,4.0,0.0
